molecule_chembl_id,mol,IC50,Class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL3693239,NC1=NC(CF)(c2cccc(NC(=O)c3ccc(Cl)cn3)c2)C2CC2O1,396.5,active,374.80300000000005,2.8855000000000013,2.0,5.0,
CHEMBL3693240,CS(=O)(=O)c1c(F)cc(NC(=O)c2ccc(Cl)cn2)cc1[C@@]1(CF)N=C(N)O[C@@H]2C[C@@H]21,1035.0,intermediate,470.8850000000002,2.4281000000000006,2.0,7.0,
CHEMBL3693241,NC1=N[C@](c2cc(-c3nc4ccc(Cl)cc4o3)ccc2F)(C(F)F)[C@@H]2C[C@@H]2O1,613.3,active,407.77900000000005,4.481100000000002,1.0,5.0,
CHEMBL3693242,NC1=N[C@@](c2cc(-c3nc4ccc(Cl)cc4o3)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,1236.5,intermediate,407.77900000000005,4.481100000000002,1.0,5.0,
CHEMBL3693243,COC[C@H](C)NC(=O)c1ccc(F)c([C@]2(C(F)F)N=C(N)O[C@H]3C[C@H]32)c1,40000.0,inactive,371.35900000000015,1.7842,2.0,5.0,
CHEMBL3693244,COC[C@H](C)NC(=O)c1ccc(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,40000.0,inactive,371.35900000000015,1.7842,2.0,5.0,
CHEMBL3693245,CC#Cc1cncc(-c2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)c1,1047.5,intermediate,371.3620000000001,3.4529000000000014,1.0,4.0,
CHEMBL3693246,CC#Cc1cncc(-c2ccc(F)c([C@]3(C(F)F)N=C(N)O[C@H]4C[C@H]43)c2)c1,40000.0,inactive,371.3620000000001,3.4529000000000014,1.0,4.0,
CHEMBL3693247,CC#Cc1cncc(-c2cc(C3(CF)N=C(N)OC4CC43)c(F)cc2CO)c1,33135.0,inactive,383.3980000000001,2.6496000000000013,2.0,5.0,
CHEMBL3693248,N=C1NC(CF)(c2cc(-c3cncc(F)c3)c(CO)cc2F)C2CC2O1,23099.0,inactive,363.33900000000006,2.626970000000001,3.0,4.0,
CHEMBL3693249,CC#Cc1cnn(-c2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)c1,1210.0,intermediate,360.3390000000001,2.576600000000001,1.0,5.0,
CHEMBL3693250,NC1=N[C@@](c2cc(-n3cc(C#CC4CC4)cn3)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,8625.0,intermediate,386.377,2.9667000000000012,1.0,5.0,
CHEMBL3693251,COC(=O)c1ccc(C(=O)Nc2cc(F)c(F)c([C@]3(C(F)F)N=C(N)O[C@H]4C[C@H]43)c2)cc1,36000.0,inactive,451.3760000000001,3.1975000000000007,2.0,6.0,
CHEMBL3693252,NC1=N[C@@](c2cc(N3Cc4cc(Cl)cnc4C3=O)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,2185.0,intermediate,422.7940000000001,3.2283000000000017,1.0,5.0,
CHEMBL3693253,COc1cnc(C(=O)Nc2cccc([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)cn1,500.0,active,389.36200000000014,1.9312999999999998,2.0,7.0,
CHEMBL3693254,CNc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,473.0,active,406.3680000000001,2.1035,3.0,7.0,
CHEMBL3693259,NC1=N[C@@](c2cc(-c3nnc(-c4ccc(F)cc4)[nH]3)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,40000.0,inactive,417.36600000000004,3.6107000000000022,2.0,5.0,
CHEMBL3688741,NC1=N[C@](CF)(c2cc(NC(=O)c3ncc(Cl)cc3CF)ccc2Cl)[C@H]2C[C@H]2O1,25.2,active,441.2650000000001,4.008400000000003,2.0,5.0,
CHEMBL3688742,NC1=N[C@](CF)(c2cc(NC(=O)c3ncc(Cl)cc3F)ccc2Cl)[C@H]2C[C@H]2O1,54.4,active,427.23800000000006,3.6780000000000026,2.0,5.0,
CHEMBL3688743,Cc1cc(Cl)cnc1C(=O)Nc1ccc(Cl)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,37.3,active,423.2750000000002,3.8473200000000016,2.0,5.0,
CHEMBL3688744,Cc1cc(NC(=O)c2ccc(Cl)cc2CF)cc([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1F,10.5,active,455.83900000000017,4.703120000000003,2.0,4.0,
CHEMBL3688745,NC1=N[C@](CF)(c2cc(NC(=O)c3ccc(F)cn3)ccc2Cl)[C@H]2C[C@H]2O1,290.5,active,392.7930000000001,3.0246000000000013,2.0,5.0,
CHEMBL3688789,N#Cc1cnc2c(Nc3ccc(F)c([C@@]4(C(F)F)N=C(N)O[C@@H]5C[C@@H]54)c3)nccc2c1,55.85,active,424.38600000000014,3.577980000000001,2.0,7.0,
CHEMBL3688790,COc1cnc2c(Nc3ccc(F)c([C@@]4(C(F)F)N=C(N)O[C@@H]5C[C@@H]54)c3)nccc2n1,139.0,active,430.39000000000016,3.1099000000000014,2.0,8.0,
CHEMBL3688791,COc1cnc2c(Nc3ccc(F)c([C@@]4(C(F)F)N=C(N)O[C@@H]5C[C@@H]54)c3)ncc(F)c2c1,117.35,active,447.39200000000017,3.854000000000002,2.0,7.0,
CHEMBL3688792,NC1=N[C@@](c2cc(Nc3ncnc4cc(C(F)(F)F)cnc34)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,124.5,active,468.3610000000001,4.1201000000000025,2.0,7.0,
CHEMBL3688824,N#Cc1cnc(C(=O)Nc2ccc(Cl)c([C@@]3(CF)N=C(N)O[C@@H]4C[C@@H]43)c2)c(F)c1,50.25,active,417.8030000000001,2.896280000000001,2.0,6.0,
CHEMBL3693255,NC1=N[C@@](c2cc(NC(=O)c3c(F)cc(F)cc3F)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,5385.0,intermediate,429.32000000000005,3.6891000000000025,2.0,4.0,
CHEMBL4114267,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@@]2(C)N=C(N)OCC2(F)F)n1,12.0,active,404.35200000000015,2.2435,2.0,7.0,
CHEMBL3902027,COCC[C@@]1(c2nc(NC(=O)c3ncc(C#N)cc3C)ccc2F)N=C(N)OCC1(F)F,10000.0,inactive,448.40500000000014,2.2601000000000004,2.0,8.0,
